#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260904    08:41:26       0    202     30     31 
 20260904    08:41:27       0    202     30     31 
 20260904    08:41:28       0    202     30     31 
 20260904    08:41:29       0    202     30     31 
 20260904    08:41:30       0    202     30     31 
 20260904    08:41:31       0    202     30     31 
 20260904    08:41:32       0    202     30     31 
 20260904    08:41:33       0    202     30     31 
 20260904    08:41:34       0    202     30     31 
 20260904    08:41:35       0    202     30     31 
 20260904    08:41:36       0    202     30     31 
 20260904    08:41:37       0    202     30     31 
 20260904    08:41:38       0    202     30     31 
 20260904    08:41:39       0    202     30     31 
 20260904    08:41:40       0    202     30     31 
 20260904    08:41:41       0    202     30     31 
 20260904    08:41:42       0    202     30     31 
 20260904    08:41:43       0    202     30     31 
 20260904    08:41:44       0    202     30     31 
 20260904    08:41:45       0    202     30     31 
 20260904    08:41:46       0    202     30     31 
 20260904    08:41:47       0    202     30     31 
 20260904    08:41:48       0    202     30     31 
 20260904    08:41:49       0    202     30     31 
 20260904    08:41:50       0    202     30     31 
 20260904    08:41:51       0    202     30     31 
 20260904    08:41:52       0    202     30     31 
 20260904    08:41:53       0    202     30     31 
 20260904    08:41:54       0    202     30     31 
 20260904    08:41:55       0    202     30     31 
 20260904    08:41:56       0    202     30     31 
 20260904    08:41:57       0    202     30     31 
 20260904    08:41:58       0    202     30     31 
 20260904    08:41:59       0    202     30     31 
 20260904    08:42:00       0    202     30     31 
 20260904    08:42:01       0    202     30     31 
 20260904    08:42:02       0    202     30     31 
 20260904    08:42:03       0    319     34     43 
