#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260904    08:39:53       0    202     30     32 
 20260904    08:39:54       0    202     30     32 
 20260904    08:39:55       0    202     30     32 
 20260904    08:39:56       0    202     30     32 
 20260904    08:39:57       0    202     30     32 
 20260904    08:39:58       0    202     30     31 
 20260904    08:39:59       0    202     30     32 
 20260904    08:40:00       0    202     30     31 
 20260904    08:40:01       0    202     30     31 
 20260904    08:40:02       0    202     30     31 
 20260904    08:40:03       0    202     30     31 
 20260904    08:40:04       0    202     30     31 
 20260904    08:40:05       0    202     30     31 
 20260904    08:40:06       0    202     30     31 
 20260904    08:40:07       0    202     30     31 
 20260904    08:40:08       0    202     30     31 
 20260904    08:40:09       0    202     30     31 
 20260904    08:40:10       0    202     30     31 
 20260904    08:40:11       0    202     30     31 
 20260904    08:40:12       0    202     30     31 
 20260904    08:40:13       0    202     30     31 
 20260904    08:40:14       0    202     30     31 
 20260904    08:40:15       0    202     30     31 
 20260904    08:40:16       0    202     30     31 
 20260904    08:40:17       0    202     30     31 
 20260904    08:40:18       0    202     30     31 
 20260904    08:40:19       0    202     30     31 
 20260904    08:40:20       0    202     30     31 
 20260904    08:40:21       0    202     30     31 
 20260904    08:40:22       0    202     30     31 
 20260904    08:40:23       0    202     30     31 
 20260904    08:40:24       0    202     30     31 
 20260904    08:40:25       0    202     30     31 
 20260904    08:40:26       0    202     30     31 
 20260904    08:40:27       0    202     30     31 
 20260904    08:40:28       0    202     30     31 
 20260904    08:40:29       0    202     30     31 
 20260904    08:40:30       0    202     30     31 
